month,2017 export,2017 import,2018 export,2018 import
jan,9961097157,41343083151,9835259350,45788040550
Feb,9735785625,32804295619,9806092670,39067601646
Mar,9719186451,34186942135,12382086329,38256735066
Apr,9805657653,37465635527,10268035458,38230010004
May,9862177185,41783058622,10610817545,43797369781
Jun,9717402236,42289152147,11115623430,44599462713
Jul,9979057962,43589168843,10261688039,47096007634
Aug,10828339314,45817767860,9294344300,47863906454
Sep,10911677353,45429719676,9789081065,50032120606
Oct,12963434465,48167652565,9130520323,52232992043
Nov,12765021147,48127809502,8664895287,46525682470
Dec,13644750168,44465668732,9182981845,46013498775
