Comm Code,Commodity,total
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",89147329660
87,"VEHICLES, EXCEPT RAILWAY OR TRAMWAY, AND PARTS ETC",82677835172
84,"NUCLEAR REACTORS, BOILERS, MACHINERY ETC.; PARTS",82173538464
85,ELECTRIC MACHINERY ETC; SOUND,77689686416
12,"OIL SEEDS ETC.; MISC GRAIN, SEED, FRUIT, PLANT ETC",68518722389
90,"OPTIC, PHOTO ETC, MEDIC OR S",54679120250
27,"MINERAL FUEL, OIL ETC.; BITUMIN SUBST; MINERAL WAX",49165665941
39,PLASTICS AND ARTICLES THEREOF,37858863659
47,WOOD PULP ETC; RECOVD (WASTE & SCRAP) PPR & PPRBD,21983772355
44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL,20120942427
